Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Produksi
ACEH;Ubi Kayu;1993;5904;73122;0;Rendah;52305,01423
ACEH;Ubi Kayu;1994;5654;70288;0;Rendah;47955,41044
ACEH;Ubi Kayu;1995;5690;69571;0;Rendah;48581,75339
ACEH;Ubi Kayu;1996;4795;59782;0;Rendah;33010,17182
ACEH;Ubi Kayu;1997;6532;81427;0;Rendah;63231,21895
ACEH;Ubi Kayu;1998;5477;66543;0;Rendah;44875,89096
ACEH;Ubi Kayu;1999;5503;67670;0;Rendah;45328,24975
ACEH;Ubi Kayu;2000;5293;65208;0;Rendah;41674,58257
ACEH;Ubi Kayu;2001;3605;44387;0;Rendah;12306,05778
ACEH;Ubi Kayu;2002;4269;52126;0;Rendah;23858,60545
ACEH;Ubi Kayu;2003;6098;75286;0;Rendah;55680,30677
ACEH;Ubi Kayu;2004;5180;63867;0;Rendah;39708,56166
ACEH;Ubi Kayu;2005;4316;53424;0;Rendah;24676,33096
ACEH;Ubi Kayu;2006;3754;46504;0;Rendah;14898,42164
ACEH;Ubi Kayu;2007;3351;41558;0;Rendah;7886,86033
ACEH;Ubi Kayu;2008;3093;38403;0;Rendah;3398,069218
ACEH;Ubi Kayu;2009;3910;49839;0;Rendah;17612,5744
ACEH;Ubi Kayu;2010;3084;43810;0;Rendah;3241,483482
ACEH;Ubi Kayu;2011;3085;39384;0;Rendah;3258,881897
ACEH;Ubi Kayu;2012;2974;38257;0;Rendah;1327,657814
ACEH;Ubi Kayu;2013;2725;34738;0;Rendah;-3004,54756
ACEH;Ubi Kayu;2014;2432;31621;0;Rendah;-8102,283202
ACEH;Ubi Kayu;2015;2226;29131;0;Rendah;-11686,35673
BALI;Ubi Kayu;1993;18166;240045;0;Rendah;265644,3809
BALI;Ubi Kayu;1994;16451;173623;0;Rendah;235806,0989
BALI;Ubi Kayu;1995;14935;159851;0;Rendah;209430,1015
BALI;Ubi Kayu;1996;17948;211499;0;Rendah;261851,5264
BALI;Ubi Kayu;1997;18956;221410;0;Rendah;279389,1289
BALI;Ubi Kayu;1998;17910;209335;0;Rendah;261190,3866
BALI;Ubi Kayu;1999;16712;181518;0;Rendah;240347,0853
BALI;Ubi Kayu;2000;13651;159820;0;Rendah;187090,5365
BALI;Ubi Kayu;2001;14086;160011;0;Rendah;194658,8471
BALI;Ubi Kayu;2002;10395;125779;0;Rendah;130441,2967
BALI;Ubi Kayu;2003;11317;137891;0;Rendah;146482,6355
BALI;Ubi Kayu;2004;12100;142221;0;Rendah;160105,5946
BALI;Ubi Kayu;2005;12293;155808;0;Rendah;163463,4887
BALI;Ubi Kayu;2006;12435;159058;0;Rendah;165934,0636
BALI;Ubi Kayu;2007;12417;174189;0;Rendah;165620,8922
BALI;Ubi Kayu;2008;11599;169761;0;Rendah;151388,9886
BALI;Ubi Kayu;2009;11088;171456;0;Rendah;142498,3984
BALI;Ubi Kayu;2010;10809;163746;0;Rendah;137644,2406
BALI;Ubi Kayu;2011;10683;166291;0;Rendah;135452,0403
BALI;Ubi Kayu;2012;9346;147201;0;Rendah;112190,3592
BALI;Ubi Kayu;2013;9085;156953;0;Rendah;107649,3729
BALI;Ubi Kayu;2014;8006;131887;0;Rendah;88876,4829
BALI;Ubi Kayu;2015;8009;86070;0;Rendah;88928,67815
BANTEN;Ubi Kayu;1993;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;1994;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;1995;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;1996;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;1997;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;1998;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;1999;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;2000;0;0;0;Rendah;-50415,22887
BANTEN;Ubi Kayu;2001;13608;179475;0;Rendah;186342,4046
BANTEN;Ubi Kayu;2002;10544;137975;0;Rendah;133033,6606
BANTEN;Ubi Kayu;2003;11321;155776;0;Rendah;146552,2292
BANTEN;Ubi Kayu;2004;11950;163969;0;Rendah;157495,8323
BANTEN;Ubi Kayu;2005;10435;144110;0;Rendah;131137,2333
BANTEN;Ubi Kayu;2006;10266;143561;0;Rendah;128196,9012
BANTEN;Ubi Kayu;2007;8319;117550;0;Rendah;94322,18684
BANTEN;Ubi Kayu;2008;8271;115591;0;Rendah;93487,06292
BANTEN;Ubi Kayu;2009;7407;105621;0;Rendah;78454,83222
BANTEN;Ubi Kayu;2010;8237;118979;0;Rendah;92895,5168
BANTEN;Ubi Kayu;2011;7374;107052;0;Rendah;77880,68452
BANTEN;Ubi Kayu;2012;5677;82796;0;Rendah;48355,57399
BANTEN;Ubi Kayu;2013;6391;97847;0;Rendah;60778,04242
BANTEN;Ubi Kayu;2014;5679;85943;0;Rendah;48390,37082
BANTEN;Ubi Kayu;2015;4176;74163;0;Rendah;22240,55284
BENGKULU;Ubi Kayu;1993;8760;85987;0;Rendah;101994,8879
BENGKULU;Ubi Kayu;1994;6923;74960;0;Rendah;70033,99928
BENGKULU;Ubi Kayu;1995;8095;90774;0;Rendah;90424,94185
BENGKULU;Ubi Kayu;1996;9217;105587;0;Rendah;109945,9637
BENGKULU;Ubi Kayu;1997;8791;99854;0;Rendah;102534,2388
BENGKULU;Ubi Kayu;1998;11051;124064;0;Rendah;141854,6571
BENGKULU;Ubi Kayu;1999;8550;95420;0;Rendah;98341,22075
BENGKULU;Ubi Kayu;2000;8249;92643;0;Rendah;93104,29778
BENGKULU;Ubi Kayu;2001;6459;73566;0;Rendah;61961,13465
BENGKULU;Ubi Kayu;2002;7186;81390;0;Rendah;74609,78247
BENGKULU;Ubi Kayu;2003;7194;82945;0;Rendah;74748,96979
BENGKULU;Ubi Kayu;2004;5118;59659;0;Rendah;38629,85992
BENGKULU;Ubi Kayu;2005;6856;79934;0;Rendah;68868,30547
BENGKULU;Ubi Kayu;2006;9761;113488;0;Rendah;119410,7015
BENGKULU;Ubi Kayu;2007;6614;76924;0;Rendah;64657,889
BENGKULU;Ubi Kayu;2008;4231;49478;0;Rendah;23197,46567
BENGKULU;Ubi Kayu;2009;3199;37311;0;Rendah;5242,301225
BENGKULU;Ubi Kayu;2010;3714;43847;0;Rendah;14202,48503
BENGKULU;Ubi Kayu;2011;4047;47735;0;Rendah;19996,15728
BENGKULU;Ubi Kayu;2012;4571;57618;0;Rendah;29112,92682
BENGKULU;Ubi Kayu;2013;4861;62193;0;Rendah;34158,46722
BENGKULU;Ubi Kayu;2014;4496;78853;0;Rendah;27808,04569
BENGKULU;Ubi Kayu;2015;3573;80309;0;Rendah;11749,3085
DI YOGYAKARTA;Ubi Kayu;1993;59146;709060;0;Rendah;978631,4342
DI YOGYAKARTA;Ubi Kayu;1994;59751;586655;0;Rendah;989157,4754
DI YOGYAKARTA;Ubi Kayu;1995;58446;584860;0;Rendah;966452,5436
DI YOGYAKARTA;Ubi Kayu;1996;58430;695488;0;Rendah;966174,1689
DI YOGYAKARTA;Ubi Kayu;1997;58016;692120;0;Rendah;958971,2251
DI YOGYAKARTA;Ubi Kayu;1998;53597;648638;0;Rendah;882087,6285
DI YOGYAKARTA;Ubi Kayu;1999;60036;719123;0;Rendah;994116,0237
DI YOGYAKARTA;Ubi Kayu;2000;55901;701314;0;Rendah;922173,577
DI YOGYAKARTA;Ubi Kayu;2001;58221;736316;0;Rendah;962537,9002
DI YOGYAKARTA;Ubi Kayu;2002;59182;750205;0;Rendah;979257,7771
DI YOGYAKARTA;Ubi Kayu;2003;59270;764409;0;Rendah;980788,8377
DI YOGYAKARTA;Ubi Kayu;2004;59521;817398;0;Rendah;985155,8399
DI YOGYAKARTA;Ubi Kayu;2005;60695;920909;0;Rendah;1005581,579
DI YOGYAKARTA;Ubi Kayu;2006;60926;1016270;0;Rendah;1009600,613
DI YOGYAKARTA;Ubi Kayu;2007;61237;976610;0;Rendah;1015011,52
DI YOGYAKARTA;Ubi Kayu;2008;62543;892907;0;Rendah;1037733,85
DI YOGYAKARTA;Ubi Kayu;2009;63275;1047684;0;Rendah;1050469,49
DI YOGYAKARTA;Ubi Kayu;2010;62563;1114665;0;Rendah;1038081,819
DI YOGYAKARTA;Ubi Kayu;2011;62414;867596;0;Rendah;1035489,455
